Date,Open,High,Low,Close,Adj Close,Volume
4/30/2018,5937.075195,6005.878906,5936.526855,5994.595215,5994.595215,59188600
5/2/2018,5999.361816,6012.938965,5970.398926,6012.237793,6012.237793,67805700
5/3/2018,5990.161133,5996.48584,5858.731934,5858.731934,5858.731934,61109700
5/4/2018,5849.309082,5855.105957,5768.383789,5792.345215,5792.345215,52388700
5/7/2018,5814.956055,5885.098145,5808.188965,5885.098145,5885.098145,52856100
5/8/2018,5862.779785,5866.079102,5752.800781,5774.71582,5774.71582,57813800
5/9/2018,5734.180176,5917.816895,5716.645996,5907.937988,5907.937988,66282300
5/11/2018,5923.092773,6023.041016,5921.193848,5956.832031,5956.832031,66776200
5/14/2018,5933.460938,5947.154785,5853.438965,5947.154785,5947.154785,56191400
5/15/2018,5926.077148,5940.421875,5833.634766,5838.116211,5838.116211,64487000
5/16/2018,5780.87793,5841.463867,5738.578125,5841.463867,5841.463867,62283300
5/17/2018,5854.869141,5898.297852,5815.919922,5815.919922,5815.919922,67370600
5/18/2018,5831.051758,5843.451172,5783.310059,5783.310059,5783.310059,55495900
5/21/2018,5779.242188,5786.391113,5719.475098,5733.854004,5733.854004,63717500
5/22/2018,5767.62793,5813.429199,5751.119141,5751.119141,5751.119141,67420300
5/23/2018,5764.418945,5850.539063,5764.312012,5792.000977,5792.000977,60646300
5/24/2018,5833.616211,5954.308105,5833.353027,5946.538086,5946.538086,71497000
5/25/2018,5957.425781,6003.244141,5949.521973,5975.742188,5975.742188,58672900
5/28/2018,5979.620117,6080.506836,5977.003906,6068.325195,6068.325195,66767100
5/30/2018,6037.434082,6095.828125,6001.801758,6011.055176,6011.055176,76998100
5/31/2018,6037.262207,6055.015137,5934.804199,5983.586914,5983.586914,91923400
6/4/2018,6004.119141,6032.993164,6001.201172,6014.818848,6014.818848,77906000
6/5/2018,6031.370117,6088.790039,6025.557129,6088.790039,6088.790039,71163800
6/6/2018,6083.920898,6096.723145,6063.334961,6069.712891,6069.712891,68433200
6/7/2018,6090.975098,6116.433105,6077.855957,6106.698242,6106.698242,61086000
6/8/2018,6083.332031,6096.657227,5987.329102,5993.626953,5993.626953,53952100
6/20/2018,5941.793945,5947.78418,5834.134766,5884.039063,5884.039063,62441700
6/21/2018,5890.064941,5922.702148,5815.453125,5822.333008,5822.333008,51405000
6/22/2018,5820.187988,5837.652832,5787.682129,5821.812012,5821.812012,58773500
6/25/2018,5850.313965,5891.481934,5801.594238,5859.083008,5859.083008,54948400
6/26/2018,5831.595215,5878.037109,5820.751953,5825.648926,5825.648926,59068400
6/27/2018,5832.584961,5859.603027,5787.551758,5787.551758,5787.551758,55552900
6/28/2018,5791.583008,5801.349121,5661.007813,5667.318848,5667.318848,60061700
6/29/2018,5691.686035,5799.236816,5682.658203,5799.236816,5799.236816,65331400
7/2/2018,5828.495117,5832.222168,5746.77002,5746.77002,5746.77002,48029600
7/3/2018,5737.35498,5752.317871,5630.100098,5633.937012,5633.937012,49554000
7/4/2018,5640.562988,5738.925781,5557.558105,5733.63916,5733.63916,56623500
7/5/2018,5727.912109,5739.332031,5685.751953,5739.332031,5739.332031,51660500
7/6/2018,5733.130859,5743.359863,5694.912109,5694.912109,5694.912109,46286700
7/9/2018,5719.856934,5815.446777,5716.394043,5807.375,5807.375,52683800
7/10/2018,5839.036133,5888.592773,5829.681152,5881.759766,5881.759766,53761000
7/11/2018,5842.990234,5897.957031,5822.751953,5893.358887,5893.358887,62397700
7/12/2018,5873.048828,5931.519043,5873.048828,5907.87207,5907.87207,57014300
7/13/2018,5908.478027,5961.336914,5908.478027,5944.074219,5944.074219,54856000
7/16/2018,5941.912109,5956.796875,5847.34082,5905.158203,5905.158203,46500100
7/17/2018,5881.791016,5884.799805,5840.937012,5861.507813,5861.507813,52518200
7/18/2018,5868.871094,5899.652832,5858.975098,5890.730957,5890.730957,69005100
7/19/2018,5902.025879,5920.929199,5857.143066,5871.077148,5871.077148,61506700
7/20/2018,5867.808105,5884.633789,5842.930176,5872.78418,5872.78418,56088500
7/23/2018,5886.516113,5928.080078,5884.976074,5915.795898,5915.795898,51917100
